method,silhouette_score,calinski_harabasz_index,adjusted_rand_index,normalized_mutual_info
VAE + K-Means,0.1544378250837326,109.93709753049193,0.1585262504688824,0.2843226743482606
PCA + K-Means (Baseline),0.10450061717030577,93.02556566143485,0.21099716712007546,0.36139495558039103
