Method,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI
K-Means,0.23691336810588837,1.6886628704249234,88.66272541640744,0.30682615220590137,0.5713778775639775
Agglomerative-Ward,0.24216189980506897,1.6750063819584682,90.72474995205805,0.24790918210654653,0.5204033294247928
Agglomerative-Complete,0.21859389543533325,1.8195191231071763,82.39257029481385,0.34284475119819674,0.6105325457853478
DBSCAN,0.6235176920890808,0.5679944436025691,304.69525070401414,0.46645618088242324,0.8074409232205343
