Method,Silhouette,NMI,ARI,Purity,Davies-Bouldin,Calinski-Harabasz
Beta-VAE,0.3152904510498047,0.7464944357129374,0.611591316617398,0.7377377377377378,1.3654649251266124,160.04395060334542
CVAE,0.09968356043100357,0.11093039348767841,0.03869330369209112,0.1971971971971972,1.8875533828935462,83.28721576275142
PCA + K-Means,0.10265745331586308,0.7568991395850566,0.6592541475863561,0.7537537537537538,3.0802468579661206,32.42657011423465
AE + K-Means,0.25719672441482544,0.6421163559218683,0.3988803966011326,0.6536536536536537,1.4968154725965377,111.54191837831955
Spectral,0.14884788816369213,0.7783864883141588,0.5047411150175365,0.6946946946946947,2.852345949826463,75.05857548948308
